sym,exchange,inst,ctype,tick,settlepx,lqt
STGU22,CURVE,STG,OT,0.005,99.73,2021-04-16D14:35:17.112032069
STGM23,CURVE,STG,OT,0.005,99.525,2021-04-16D14:35:20.787626264
STGH23,CURVE,STG,OT,0.005,99.605,2021-04-16D14:35:12.119341842
STG+12U-32Z+33H-13M,CURVE,STG,DF,0.005,,2021-04-16D14:34:09.683645482
SNAZ22-SNAH23,CURVE,SNA,SP,0.005,,2021-04-16D14:33:08.561732990
SONZ22-SONH23,CURVE,SON,SP,0.005,,2021-04-16D14:35:12.246880315
SR1X1,CME,SR1,OT,0.5,9995,2021-04-16D14:34:09.023259277
SO3Z2-SO3H3,ICE,SO3,SP,0.005,0.07,2021-04-16D14:34:09.429981302
SO3Z2,ICE,SO3,OT,0.005,99.785,2021-04-16D14:35:12.145613607
SO3H3,ICE,SO3,OT,0.005,99.715,2021-04-16D14:35:20.848214743
LU2-LH3,ICE,L,SP,0.005,0.135,2021-04-16D14:29:53.599178443
STLU22-STLH23,CURVE,STL,SP,0.005,,2021-04-16D14:35:17.098992549
SO3Z1,ICE,SO3,OT,0.005,99.945,2021-04-16D14:35:12.145378498
SO3U2,ICE,SO3,OT,0.005,99.85,2021-04-16D14:35:16.985147383
SO3U1,ICE,SO3,OT,0.005,99.955,2021-04-16D14:35:12.146864143
SO3M2,ICE,SO3,OT,0.005,99.9,2021-04-16D14:35:16.985147383
SO3M1,ICE,SO3,OT,0.005,99.955,2021-04-16D14:35:12.145781153
SO3H2,ICE,SO3,OT,0.005,99.935,2021-04-16D14:35:12.146420717
SO3:BND2:M21,ICE,SO3,FB,0.00125,0,2021-04-16D14:35:27.466882578
SO3Z3,ICE,SO3,OT,0.005,99.495,2021-04-16D14:35:21.836654173
SO3U3,ICE,SO3,OT,0.005,99.565,2021-04-16D14:35:21.836371932
SO3M3,ICE,SO3,OT,0.005,99.64,2021-04-16D14:35:27.741693379
SO3H4,ICE,SO3,OT,0.005,99.43,2021-04-16D14:35:12.365409845
SO3:BND3:M21,ICE,SO3,FB,0.00125,0,2021-04-16D14:35:27.742253879
